step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.291943550109863,4.289162635803223,0.01,-100.0
1,1,3.817516326904297,3.77777099609375,0.01,-100.0,0.015780965331941843,0.011010098911356181,0.044006663374602795,0.2704780846834183
2,2,3.7193820476531982,3.6326687335968018,0.01,-100.0,0.017429111525416374,0.08534778840839863,0.25284237414598465,0.47589780390262604
3,3,3.506479024887085,3.5178582668304443,0.01,-100.0,0.020112281665205956,2.2701839432120323,7.142715334892273,1.6051999032497406
4,4,3.6357693672180176,3.6485469341278076,0.01,-100.0,0.021941259037703276,5.329236298799515,15.945931434631348,1.773942232131958
5,5,3.5338187217712402,3.512718915939331,0.01,-100.0,0.023124621249735355,8.257083594799042,24.034454107284546,1.4817724227905273
6,6,3.412649631500244,3.6822056770324707,0.01,0.18915158065569626,0.02393886214122176,12.387745082378387,36.5519540309906,1.6211718022823334
7,7,3.453423500061035,3.373429775238037,0.01,0.18938396559579274,0.02456656051799655,16.434770226478577,48.24938917160034,1.649147242307663
8,8,3.539490222930908,3.6513242721557617,0.01,0.18993371963726138,0.02500949613749981,20.251357674598694,59.61944389343262,1.6280994415283203
9,9,3.3329758644104004,3.4185612201690674,0.01,0.19057672008218224,0.025366706307977438,23.623717784881592,69.21821594238281,1.6727014780044556
10,10,3.6041457653045654,3.5377399921417236,0.01,0.19102160384806666,0.02570987306535244,26.917545437812805,75.4885573387146,1.7722612619400024
